scenario,method,num_gpus,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy,transition_recovery_time
drift_base_bursty_diurnal,StaticEqual,4,3729265433,431.88,795.9999999999999,1.01098296970748,1.0439866854660909,0.048,0.9663165519739225,4.089027777777533,45.58565737051793,0.5411035879671076,0.773518984187287,0.010155315238716637,1.6094379124340996,3075.0
drift_base_bursty_diurnal,StaticPriority,4,3837103583,469.3893129770992,852.5,1.0088891580548993,1.0306814384023435,0.07633587786259542,0.9628838239949351,4.663402777777474,49.11965811965812,0.522776448106642,0.7853638248633716,0.009937773729853177,1.6094379124340996,3272.5
drift_base_bursty_diurnal,StaticPriority,4,3679700342,475.5508474576271,860.0,1.0092913999230164,1.0345105049913426,0.11864406779661017,0.9686845778087927,4.253958333333073,42.55443126308444,0.5604015305222236,0.761006122145308,0.009932593648724546,1.6094379124341003,3250.0
drift_base_bursty_diurnal,EDF,4,1295526431,500.3731343283582,868.5,1.009636243258081,1.0356969879320168,0.029850746268656716,0.9701841566793336,5.084861111110784,42.502484653610054,0.5143782555428349,0.7907732640183854,0.009541331662402239,1.6094379124341,3560.0
drift_base_bursty_diurnal,SRPT,4,1630330277,494.4954128440367,875.0,1.0082226288704166,1.0230350451530297,0.25688073394495414,0.9589324227174695,4.09159722222199,26.450754852624012,0.5011887418204278,0.79923902538201,0.009971245468885717,1.6094379124341,2437.5
drift_base_bursty_diurnal,StaticEqual,4,1835700179,486.2977099236641,890.0,1.0092460680430961,1.0376214966131245,0.03816793893129771,0.9564623786407767,4.836249999999664,50.60254854368932,0.5366985932336749,0.7763701617480692,0.009553351543942077,1.6094379124341,3867.5
drift_diurnal_shifted_bursty,StaticPriority,4,1135266173,466.271186440678,850.0,1.009323023441835,1.0331051029773723,0.1016949152542373,0.9633628318584071,4.172222222221955,41.073274336283184,0.5274669866538739,0.7823370683462337,0.009829915928102173,1.6094379124341,0.0
drift_diurnal_shifted_bursty,StaticEqual,4,2438481737,429.0287769784173,871.0,1.009004256634673,1.0276128412491636,0.02877697841726619,0.9577510562235944,4.520416666666386,48.98082547936301,0.5581209941165473,0.7624862591491567,0.010064730942742654,1.6094379124341003,3412.5
drift_diurnal_shifted_bursty,StaticPriority,4,2530334049,446.10687022900765,850.0,1.0100146487026378,1.034309482608054,0.1450381679389313,0.9579741379310345,4.431736111110838,46.07990716180371,0.5474290089071159,0.769421041252834,0.009866540702311532,1.6094379124340996,3067.5
drift_base_bursty_diurnal,EDF,4,4172258467,489.88188976377955,881.9999999999999,1.0097323170084866,1.0310853175089019,0.047244094488188976,0.9571028908921355,4.723194444444133,38.35529996891514,0.5438200941320761,0.7717595910385529,0.009574241097415788,1.6094379124340998,3132.5
drift_base_bursty_diurnal,EDF,4,208357581,482.3863636363636,856.7499999999998,1.0087770145779533,1.0265023327616714,0.030303030303030304,0.9661913523459061,4.828958333333004,42.18399264029439,0.4833210635411212,0.8106360308002278,0.009691049673984941,1.6094379124341,3255.0
drift_diurnal_shifted_bursty,EDF,4,237907514,451.67785234899327,865.0,1.0103275604591067,1.040825958891733,0.06040268456375839,0.9721735319894829,5.097291666666348,44.875255623721884,0.5646681581484181,0.7582362681978574,0.009633903589765964,1.6094379124340998,0.0
drift_diurnal_shifted_bursty,EDF,4,1668182515,480.03521126760563,860.0,1.0100567856028297,1.028014252219844,0.04225352112676056,0.9538320135746606,5.175486111110723,41.49038461538461,0.5443306576559342,0.771428828169887,0.009570791518022792,1.6094379124340998,0.0
drift_base_bursty_diurnal,StaticPriority,4,2459566683,443.18791946308727,855.0,1.0103609756452672,1.043705450799953,0.06040268456375839,0.9578931924882629,5.007361111110769,54.850645539906104,0.5768975171812222,0.7502940710058178,0.009749015478459362,1.6094379124340998,3930.0
drift_diurnal_shifted_bursty,EDF,4,3475506130,439.6258503401361,848.5,1.0107792570341971,1.0376168837943776,0.04081632653061224,0.9642318140658014,4.896944444444098,48.53516450347117,0.5555850989533531,0.7641317753873459,0.009742122135741297,1.6094379124341,3490.0
drift_diurnal_shifted_bursty,EDF,4,1045891795,499.5424836601307,820.0,1.006965664186259,1.023037014006263,0.026143790849673203,0.9740602471678682,5.793958333332887,53.826725025746654,0.4437244055037916,0.8354977263656493,0.009650386147466982,1.6094379124340998,0.0
drift_base_bursty_diurnal,StaticPriority,4,2244841604,437.5,842.7499999999999,1.0126147688529432,1.0566467083119582,0.08,0.9711826347305389,4.969097222221888,60.888323353293416,0.5769466899044275,0.7502621323984259,0.009966464632178216,1.6094379124340998,4072.5
drift_diurnal_shifted_bursty,SRPT,4,2654205825,492.55555555555554,871.5,1.0087494733760782,1.0268077227347923,0.17037037037037037,0.9673721340388007,5.043333333332984,33.22957084068195,0.5086849135404695,0.7944324008407958,0.009337626330881352,1.6094379124341,0.0
drift_diurnal_shifted_bursty,EDF,4,3683588810,493.52517985611513,870.5,1.0086806132944992,1.0290296521498972,0.06474820143884892,0.9566779374471682,5.208541666666291,42.42406311637081,0.5316920759539345,0.7796076689584095,0.009494292730267143,1.6094379124340998,0.0
drift_diurnal_shifted_bursty,StaticPriority,4,1185893715,448.92857142857144,840.0,1.010423361902996,1.0368714323693453,0.14285714285714285,0.9632672039677619,4.764027777777491,45.77340359578425,0.5632299796850284,0.7591700088288891,0.009853411771356194,1.6094379124340998,0.0
