workload,intensity,num_gpus,super_high_load,regime_id,scheduler,seed,avg_jct,p95_jct,slowdown_mean,slowdown_p95,sla,gpu_utilization,energy_kwh,queue_len_mean,jct_cv,fairness_jain,scheduler_overhead_ms,action_entropy
base,low,2,0,base_low_2gpus,DynamicHeuristic,397876272,453.1168831168831,816.0,1.0092501651736236,1.025422902454667,0.025974025974025976,0.9695139084012363,2.8904861111111293,28.900814835627987,0.5039748982135921,0.7974540812548041,0.0038123262970127117,0.0
base,low,2,0,base_low_2gpus,RLMetaDQN,320418187,500.7894736842105,871.0,1.0077264520976599,1.0240651537372671,0.05263157894736842,0.9694682675814751,2.367361111111069,19.625385934819896,0.5025733359995068,0.7983522277889993,0.34438877842827553,1.608327480082242
base,low,2,0,base_low_2gpus,RLMetaDQN,2087295204,495.625,847.25,1.0085168855659348,1.0245981894515686,0.06944444444444445,0.9731404958677686,2.957291666666708,24.427548209366392,0.4843915775061894,0.8099558474507383,0.2767911047601595,1.6075460079944495
base,low,2,0,base_low_2gpus,RLMetaDQN,1607349686,436.2676056338028,850.0,1.0129787278432705,1.0566948023027205,0.056338028169014086,0.9628930817610063,2.568055555555524,26.27672955974843,0.6160209833418216,0.7249098627928875,0.27480840004534673,1.6073338879354344
base,low,2,0,base_low_2gpus,RLMetaDQN,1226743055,473.6842105263158,867.9999999999999,1.0127441231518348,1.0596508788683057,0.08771929824561403,0.9644404332129964,2.239930555555478,19.716606498194945,0.522235815424822,0.7857124496137641,0.2752963732197815,1.6083671098151362
base,low,2,0,base_low_2gpus,RLMetaDQN,746797537,438.05970149253733,828.5,1.0099276327638245,1.0246976328035011,0.029850746268656716,0.9775943396226415,2.4271527777777386,24.714622641509433,0.5596649098206473,0.7614842420017514,0.274073375333616,1.6078788115971814
base,low,4,0,base_low_4gpus,StaticEqual,1297722663,430.59322033898303,795.5,1.0089453306805545,1.0284103868520473,0.1016949152542373,0.9591291061879297,1.9255555555555692,10.845683728036668,0.5063584758961057,0.7959255576668307,0.004337262778010752,0.0
base,low,4,0,base_low_4gpus,StaticEqual,817777145,435.327868852459,800.0,1.0095065924073496,1.0363019350416338,0.13114754098360656,0.9210526315789473,2.020833333333345,12.92,0.5434777306059081,0.7719813723132999,0.004277298994885202,0.0
base,low,4,0,base_low_4gpus,StaticEqual,437170514,463.65671641791045,817.0,1.009203615658132,1.0294167226506898,0.14925373134328357,0.9496291718170581,2.358749999999978,16.244746600741657,0.5231961177846234,0.7850931674239462,0.004284826319180348,0.0
base,low,4,0,base_low_4gpus,StaticEqual,2104708644,464.69135802469134,845.0,1.0105909740569337,1.0382825139305387,0.06172839506172839,0.9523017902813299,2.857291666666577,23.215856777493606,0.5254389637371214,0.7836461790344705,0.004360523241449414,0.0
base,low,4,0,base_low_4gpus,StaticEqual,1724102013,414.55882352941177,804.75,1.0102882507329407,1.03126391781822,0.10294117647058823,0.930193720774883,2.141944444444458,12.879759519038076,0.6080204422040675,0.730092819297741,0.004171224476790719,0.0
base,low,4,0,base_low_4gpus,StaticPriority,859026966,574.8913043478261,865.0,1.0074715426452934,1.0193149868501128,0.34782608695652173,0.9002403846153846,2.0227083333333433,7.923763736263736,0.38487267162164973,0.87098380510303,0.004349117331842605,0.0
base,low,4,0,base_low_4gpus,StaticPriority,478420335,446.8333333333333,856.4999999999999,1.0097391147927999,1.0280305072043001,0.25,0.948140200286123,2.0351388888889006,10.707439198855507,0.593684677839122,0.7393925834030265,0.004316816867218594,0.0
base,low,4,0,base_low_4gpus,StaticPriority,97813704,448.25757575757575,842.5,1.0089952313382111,1.0252268988796844,0.36363636363636365,0.9199685534591195,2.252430555555561,12.177358490566037,0.5097046778055021,0.7937775091563231,0.004328622048173053,0.0
base,low,4,0,base_low_4gpus,StaticPriority,1765351834,517.9104477611941,870.4999999999999,1.0082991127145609,1.0221901224648895,0.31343283582089554,0.9519390581717452,2.637152777777724,17.16454293628809,0.46720088330899257,0.8208316127436853,0.004354382295469777,0.0
base,low,4,0,base_low_4gpus,StaticPriority,1384745203,480.57377049180326,850.0,1.0112700854181116,1.0338974546490813,0.26229508196721313,0.9280230326295585,2.2316666666666825,12.525271912987844,0.5413186778147268,0.7733797068795843,0.0045772603948636935,0.0
